ACCUMULATION_PERIOD_INVALID	$.measurement.accumulation_minutes
COUNTY_FIPS_INVALID	$.spatial_support.county_fips
EVIDENCE_REF_MISSING	$.evidence_refs
GOVERNANCE_STATE_INVALID	$.governance.promotion_eligible
GOVERNANCE_STATE_INVALID	$.governance.release_state
GOVERNANCE_STATE_INVALID	$.governance.review_state
GOVERNANCE_STATE_INVALID	$.governance.rights_state
GOVERNANCE_STATE_INVALID	$.governance.rollback_state
GOVERNANCE_STATE_INVALID	$.governance.sensitivity_state
KNOWLEDGE_CHARACTER_INVALID	$.knowledge_character
LIMITATIONS_INVALID	$.limitations
MEASUREMENT_METHOD_INVALID	$.measurement.method
MEASUREMENT_PARAMETER_INVALID	$.measurement.parameter
MEASUREMENT_UNIT_INVALID	$.measurement.unit
MEASUREMENT_VALUE_OUT_OF_RANGE	$.measurement.value
OBJECT_FAMILY_INVALID	$.object_family
OBSERVED_TIME_INVALID	$.temporal_scope.observed_at
PRECISE_LOCATION_FIELD_FORBIDDEN	$.spatial_support.latitude
SOURCE_DESCRIPTOR_REF_MISSING	$.source_descriptor_ref
SPATIAL_SUPPORT_NOT_PUBLIC_SAFE	$.spatial_support.kind
UNDECLARED_SPATIAL_SUPPORT_FIELD	$.spatial_support.latitude
