COUNTY_FIPS_INVALID	$.spatial_support.county_fips
EVIDENCE_REF_MISSING	$.evidence_refs
GAUGE_SITE_REF_MISSING	$.gauge_site_ref
GOVERNANCE_STATE_INVALID	$.governance.promotion_eligible
GOVERNANCE_STATE_INVALID	$.governance.release_state
GOVERNANCE_STATE_INVALID	$.governance.review_state
GOVERNANCE_STATE_INVALID	$.governance.rights_state
GOVERNANCE_STATE_INVALID	$.governance.rollback_state
GOVERNANCE_STATE_INVALID	$.governance.sensitivity_state
LIMITATIONS_INVALID	$.limitations
MEASUREMENT_UNIT_INVALID	$.measurement.unit
MEASUREMENT_VALUE_OUT_OF_RANGE	$.measurement.value
NO_DATA_STATE_INVALID	$.measurement.no_data
OBJECT_FAMILY_INVALID	$.object_family
OBSERVED_TIME_INVALID	$.temporal_scope.observed_at
PARAMETER_CODE_INVALID	$.measurement.parameter_code
PRECISE_LOCATION_FIELD_FORBIDDEN	$.spatial_support.longitude
QUALIFIER_INVALID	$.measurement.qualifier
SOURCE_DESCRIPTOR_REF_MISSING	$.source_descriptor_ref
SPATIAL_SUPPORT_NOT_PUBLIC_SAFE	$.spatial_support.kind
UNDECLARED_SPATIAL_SUPPORT_FIELD	$.spatial_support.longitude
